963.5294 ; 846.00 ; 967.05 ; 85.00 ; 
979.5882 ; 860.00 ; 982.00 ; 85.00 ; 
995.6471 ; 876.00 ; 999.07 ; 85.00 ; 
1011.7059 ; 900.00 ; 1024.65 ; 85.00 ; 
1027.7647 ; 893.00 ; 1017.19 ; 86.00 ; 
1043.8235 ; 913.00 ; 1038.50 ; 85.00 ; 
1059.8824 ; 928.00 ; 1054.47 ; 85.00 ; 
1075.9412 ; 944.00 ; 1071.50 ; 85.00 ; 
1092.0000 ; 974.00 ; 1103.41 ; 85.00 ; 
1108.0588 ; 976.00 ; 1105.53 ; 85.00 ; 
1124.1176 ; 989.00 ; 1119.35 ; 86.00 ; 
1140.1765 ; 1008.00 ; 1139.54 ; 85.00 ; 
1156.2353 ; 1023.00 ; 1155.47 ; 85.00 ; 
1172.2941 ; 1036.00 ; 1169.28 ; 85.00 ; 
1188.3529 ; 1047.00 ; 1180.96 ; 85.00 ; 
1204.4118 ; 1074.00 ; 1209.62 ; 85.00 ; 
1220.4706 ; 1083.00 ; 1219.17 ; 85.00 ; 
1236.5294 ; 1099.00 ; 1236.15 ; 85.00 ; 
1252.5882 ; 1107.00 ; 1244.64 ; 86.00 ; 
1268.6471 ; 1125.00 ; 1263.74 ; 85.00 ; 
1284.7059 ; 1136.00 ; 1275.41 ; 85.00 ; 
1300.7647 ; 1158.00 ; 1298.75 ; 85.00 ; 
1316.8235 ; 1168.00 ; 1309.36 ; 86.00 ; 
1332.8824 ; 1168.00 ; 1309.36 ; 85.00 ; 
1348.9412 ; 1191.00 ; 1333.77 ; 85.00 ; 
1365.0000 ; 1208.00 ; 1351.81 ; 85.00 ; 
1381.0588 ; 1229.00 ; 1374.10 ; 85.00 ; 
1397.1176 ; 1242.00 ; 1387.90 ; 85.00 ; 
1413.1765 ; 1259.00 ; 1405.95 ; 85.00 ; 
1429.2353 ; 1267.00 ; 1414.45 ; 86.00 ; 
1445.2941 ; 1282.00 ; 1430.38 ; 86.00 ; 
1461.3529 ; 1303.00 ; 1452.69 ; 85.00 ; 
1477.4118 ; 1322.00 ; 1472.88 ; 85.00 ; 
1493.4706 ; 1325.00 ; 1476.07 ; 85.00 ; 
1509.5294 ; 1343.00 ; 1495.20 ; 85.00 ; 
1525.5882 ; 1359.00 ; 1512.22 ; 85.00 ; 
1541.6471 ; 1376.00 ; 1530.30 ; 85.00 ; 
1557.7059 ; 1394.00 ; 1549.45 ; 85.00 ; 
1573.7647 ; 1411.00 ; 1567.55 ; 85.00 ; 
1589.8235 ; 1419.00 ; 1576.07 ; 86.00 ; 
1605.8824 ; 1440.00 ; 1598.44 ; 85.00 ; 
1621.9412 ; 1456.00 ; 1615.49 ; 85.00 ; 
1638.0000 ; 1459.00 ; 1618.68 ; 84.00 ; 
1654.0588 ; 1486.00 ; 1647.47 ; 85.00 ; 
1670.1176 ; 1494.00 ; 1656.01 ; 85.00 ; 
1686.1765 ; 1524.00 ; 1688.02 ; 85.00 ; 
1702.2353 ; 1527.00 ; 1691.23 ; 85.00 ; 
1718.2941 ; 1535.00 ; 1699.77 ; 85.00 ; 
1734.3529 ; 1562.00 ; 1728.61 ; 85.00 ; 
1750.4118 ; 1580.00 ; 1747.85 ; 85.00 ; 
1766.4706 ; 1591.00 ; 1759.62 ; 85.00 ; 
1782.5294 ; 1609.00 ; 1778.87 ; 85.00 ; 
1798.5882 ; 1623.00 ; 1793.86 ; 85.00 ; 
1814.6471 ; 1633.00 ; 1804.56 ; 85.00 ; 
1830.7059 ; 1643.00 ; 1815.27 ; 85.00 ; 
1846.7647 ; 1666.00 ; 1839.91 ; 85.00 ; 
1862.8235 ; 1679.00 ; 1853.84 ; 85.00 ; 
1878.8824 ; 1695.00 ; 1870.99 ; 86.00 ; 
1894.9412 ; 1707.00 ; 1883.86 ; 86.00 ; 
1911.0000 ; 1717.00 ; 1894.59 ; 85.00 ; 
1927.0588 ; 1735.00 ; 1913.90 ; 85.00 ; 
1943.1176 ; 1744.00 ; 1923.56 ; 86.00 ; 
1959.1765 ; 1773.00 ; 1954.71 ; 85.00 ; 
1975.2353 ; 1776.00 ; 1957.93 ; 86.00 ; 
1991.2941 ; 1792.00 ; 1975.12 ; 85.00 ; 
2007.3529 ; 1824.00 ; 2009.52 ; 85.00 ; 
2023.4118 ; 1825.00 ; 2010.59 ; 86.00 ; 
2039.4706 ; 1843.00 ; 2029.95 ; 85.00 ; 
2055.5294 ; 1888.00 ; 2078.37 ; 85.00 ; 
2071.5882 ; 1887.00 ; 2077.29 ; 85.00 ; 
2087.6471 ; 1895.00 ; 2085.90 ; 85.00 ; 
2103.7059 ; 1926.00 ; 2119.27 ; 85.00 ; 
2119.7647 ; 1936.00 ; 2130.04 ; 85.00 ; 
2135.8235 ; 1951.00 ; 2146.20 ; 85.00 ; 
2151.8824 ; 1976.00 ; 2173.12 ; 85.00 ; 
2167.9412 ; 1984.00 ; 2181.74 ; 86.00 ; 
2184.0000 ; 2000.00 ; 2198.97 ; 85.00 ; 
2200.0588 ; 2019.00 ; 2219.44 ; 85.00 ; 
2216.1176 ; 2019.00 ; 2219.44 ; 86.00 ; 
2232.1765 ; 2046.00 ; 2248.52 ; 85.00 ; 
2248.2353 ; 2043.00 ; 2245.29 ; 86.00 ; 
2264.2941 ; 2078.00 ; 2282.99 ; 85.00 ; 
2280.3529 ; 2093.00 ; 2299.14 ; 85.00 ; 
2296.4118 ; 2112.00 ; 2319.60 ; 85.00 ; 
