2135.82 ; 1939 ; 0.53 ; 
2151.88 ; 1959 ; 0.53 ; 
2167.94 ; 1968 ; 0.53 ; 
2184.00 ; 1987 ; 0.54 ; 
2200.06 ; 2000 ; 0.54 ; 
2216.12 ; 2014 ; 0.55 ; 
2232.18 ; 2029 ; 0.55 ; 
2248.24 ; 2046 ; 0.55 ; 
2264.29 ; 2063 ; 0.56 ; 
2280.35 ; 2082 ; 0.56 ; 
2296.41 ; 2096 ; 0.56 ; 
2312.47 ; 2109 ; 0.57 ; 
2328.53 ; 2123 ; 0.57 ; 
2344.59 ; 2135 ; 0.58 ; 
2360.65 ; 2147 ; 0.58 ; 
2376.71 ; 2160 ; 0.58 ; 
2392.76 ; 2181 ; 0.59 ; 
2408.82 ; 2192 ; 0.59 ; 
2424.88 ; 2207 ; 0.60 ; 
2440.94 ; 2219 ; 0.60 ; 
2457.00 ; 2237 ; 0.60 ; 
2473.06 ; 2249 ; 0.61 ; 
2489.12 ; 2263 ; 0.61 ; 
2505.18 ; 2277 ; 0.62 ; 
2521.24 ; 2295 ; 0.62 ; 
2537.29 ; 2310 ; 0.62 ; 
2553.35 ; 2321 ; 0.63 ; 
2569.41 ; 2337 ; 0.63 ; 
2585.47 ; 2356 ; 0.64 ; 
2601.53 ; 2375 ; 0.64 ; 
2617.59 ; 2385 ; 0.64 ; 
2633.65 ; 2398 ; 0.65 ; 
2649.71 ; 2415 ; 0.65 ; 
2665.76 ; 2431 ; 0.65 ; 
2681.82 ; 2448 ; 0.66 ; 
2697.88 ; 2459 ; 0.66 ; 
2713.94 ; 2471 ; 0.67 ; 
2730.00 ; 2491 ; 0.67 ; 
2746.06 ; 2503 ; 0.67 ; 
2762.12 ; 2515 ; 0.68 ; 
2778.18 ; 2527 ; 0.68 ; 
2794.24 ; 2547 ; 0.69 ; 
2810.29 ; 2559 ; 0.69 ; 
2826.35 ; 2559 ; 0.69 ; 
2842.41 ; 2595 ; 0.70 ; 
2858.47 ; 2610 ; 0.70 ; 
2874.53 ; 2626 ; 0.71 ; 
2890.59 ; 2641 ; 0.71 ; 
2906.65 ; 2654 ; 0.71 ; 
2922.71 ; 2670 ; 0.72 ; 
2938.76 ; 2690 ; 0.72 ; 
2954.82 ; 2703 ; 0.73 ; 
2970.88 ; 2711 ; 0.73 ; 
2986.94 ; 2734 ; 0.73 ; 
3003.00 ; 2747 ; 0.74 ; 
3019.06 ; 2765 ; 0.74 ; 
3035.12 ; 2771 ; 0.75 ; 
3051.18 ; 2791 ; 0.75 ; 
3067.24 ; 2806 ; 0.75 ; 
3083.29 ; 2819 ; 0.76 ; 
3099.35 ; 2823 ; 0.76 ; 
3115.41 ; 2834 ; 0.76 ; 
3131.47 ; 2861 ; 0.77 ; 
3147.53 ; 2875 ; 0.77 ; 
3163.59 ; 2889 ; 0.78 ; 
3179.65 ; 2903 ; 0.78 ; 
3195.71 ; 2919 ; 0.78 ; 
3211.76 ; 2929 ; 0.79 ; 
3227.82 ; 2951 ; 0.79 ; 
3243.88 ; 2966 ; 0.80 ; 
3259.94 ; 2987 ; 0.80 ; 
3276.00 ; 2999 ; 0.80 ; 
